image_name,channel,camera_name,X,Y,Z,col_sample,row_sample
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266514.7833,4691269.882,177.8683472,2074.282622,1118.054948
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266515.2593,4691268.449,177.8722076,2152.925688,1807.540441
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266516.9041,4691271.86,177.850235,3059.907647,475.0254023
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266516.9615,4691271.666,177.8502808,3073.006718,551.0000101
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266517.3435,4691270.227,177.8591156,3121.171925,1176.276355
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266517.7394,4691268.658,177.8623047,3085.212782,1802.826207
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266517.751,4691271.881,178.16539,3367.111553,540.8255275
NVR1_N910A6_ch3_main.tiff,3,NVR1_N910A6_ch3_main,266518.1077,4691270.504,178.1795044,3418.367208,1120.946192
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266508.6959,4691275.321,178.1565857,383.1677213,120.1329154
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.0513,4691273.762,178.153717,326.2869754,662.5582935
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.0719,4691272.62,178.1597443,298.343362,1091.245864
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.3626,4691272.32,178.1535492,358.0815913,1217.263772
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.4898,4691270.835,178.1682129,425.37627,1733.793832
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.6847,4691270.883,178.1657715,466.3108647,1740.363582
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.9192,4691275.508,177.8455963,730.0791746,41.72401878
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266509.9938,4691275.076,177.8455353,706.3027448,183.6993436
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266510.1507,4691274.286,177.845047,681.2303651,486.4959627
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266510.1892,4691274.02,177.8474121,673.9531038,587.6498945
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266510.4714,4691272.496,177.844101,697.6657085,1213.418759
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266510.6529,4691271.539,177.8503265,750.5373292,1584.193938
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266510.7316,4691271.072,177.8479919,786.2835049,1756.199064
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266510.8442,4691270.53,177.8547363,832.5668867,1936.092963
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266512.1552,4691272.965,177.8286896,1323.001062,1155.511223
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266513.132,4691270.99,177.8054657,1649.814134,1999.361058
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266513.4554,4691272.806,177.8708344,1885.863869,1317.621941
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266513.6655,4691272.731,177.8694305,1980.177175,1368.27168
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266514.334,4691271.347,177.8593445,2159.677065,1960.76755
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266515.738,4691276.388,177.8512726,3027.484338,5.564907248
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266515.9353,4691275.585,177.8516235,3092.465426,309.6217252
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.0897,4691274.976,177.852417,3131.314244,567.3583728
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.176,4691274.602,177.853302,3142.841426,723.499291
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.2171,4691274.469,177.8560181,3149.12898,781.1352004
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.2336,4691274.421,177.8549347,3153.320683,803.1416385
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.5748,4691273.14,177.8511353,3161.690698,1349.54937
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.6381,4691272.885,177.8522339,3157.445629,1446.579521
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.6691,4691276.616,178.0932617,3353.677429,23.39336734
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.9041,4691271.854,177.8503418,3119.734029,1828.527164
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266516.9554,4691271.663,177.8502808,3113.669645,1889.777446
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266517.0724,4691274.825,178.1655273,3469.6448,718.7162367
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266517.4316,4691273.338,178.1656952,3470.460997,1331.134142
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266517.6731,4691273.299,178.1630707,3515.410699,1359.8997
NVR1_N910A6_ch4_main.tiff,4,NVR1_N910A6_ch4_main,266517.7515,4691271.881,178.16539,3383.948084,1851.190902
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266507.7098,4691279.612,178.1601105,687.0498943,20.598507
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266508.0237,4691278.335,178.1650696,611.3704323,424.1847078
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266508.6915,4691275.319,178.1564789,603.9986807,1579.67744
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.047,4691273.763,178.153717,711.9355073,2109.779052
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.3193,4691278.624,177.8538513,1044.102263,361.6883641
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.3443,4691278.481,177.8527832,1038.644317,416.8742622
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.4858,4691277.707,177.8492584,1011.077634,719.5259196
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.6321,4691276.973,177.8492126,1002.65955,1023.269796
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.6862,4691276.655,177.8492737,1001.786279,1162.119941
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.9142,4691275.505,177.8453064,1021.163273,1634.65473
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266509.9936,4691275.075,177.8455353,1034.262343,1790.970302
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266510.1529,4691274.274,177.8451385,1077.192487,2073.847291
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266510.1918,4691274.016,177.8467865,1086.895502,2155.110042
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266512.3285,4691278.731,177.8703003,2240.470078,451.8605641
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266512.4663,4691278.467,177.8698425,2284.861371,575.574006
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266512.6309,4691277.223,177.8616486,2263.848409,1156.609087
