camera_name,X,Y,Z,col_sample,row_sample
NVR2_N910A6_ch4_main,-10.2947771,44.72730517577337,-8.119210243,3853.6619555802436,945.7125117538613
NVR2_N910A6_ch4_main,-10.52979297,45.63797412108418,-8.119604111,3797.602492289842,560.0515612045315
NVR2_N910A6_ch4_main,-10.80240405,46.71058886718607,-8.117113113,3709.772430150252,161.73582381028194
NVR2_N910A6_ch4_main,-9.70387622,42.33724658202238,-8.107040405,3830.0982047806892,2024.342990274509
NVR2_N910A6_ch4_main,-9.414238769,41.23289111327695,-8.109066963,3751.951473550848,2460.8930801659403
NVR2_N910A6_ch4_main,-17.08347705,43.04902148436514,-8.101894379,710.749285096654,865.3995995559823
NVR2_N910A6_ch4_main,-16.77638843,42.0774785156144,-8.095809937,690.276628846654,1341.3177372055354
NVR2_N910A6_ch4_main,-17.86273364,42.34648486327527,-7.792678833,311.05901642003255,1092.9671478050902
NVR2_N910A6_ch4_main,-18.21617358,43.239812499994834,-7.791388512,363.72741864832835,679.4826525318754
NVR2_N910A6_ch4_main,-18.33726856,44.11709521483905,-7.792338371,465.73285159140846,328.4978210129017
NVR2_N910A6_ch4_main,-18.65865222,44.91214892577378,-7.787885666,539.8778032269462,20.09991706256767
NVR2_N910A6_ch4_main,-17.74951709,41.46807177733583,-7.785834789,296.8035783950346,1497.1051905673683
NVR2_N910A6_ch4_main,-17.48650561,40.49330371093468,-7.788050175,318.2547937300802,1906.8397865062047
NVR2_N910A6_ch4_main,-17.28892383,39.69855517577643,-7.779270649,376.71611466120567,2248.618494958614
NVR2_N910A6_ch4_main,-16.3818584,40.867781249989385,-8.089158058,730.3360938216535,1931.3692676102226
NVR2_N910A6_ch4_main,-15.99392383,39.56266650390431,-8.085548401,833.4742190803184,2501.638396552603
