camera_name,X,Y,Z,col_sample,row_sample
NVR1_N910A6_ch6_main,-4.854132065,22.005293036804183,-8.095898628,2936.214629911721,1067.818945426964
NVR1_N910A6_ch6_main,-5.305567961,23.773850074126013,-8.086543083,2892.743692375113,341.83600357941975
NVR1_N910A6_ch6_main,-4.228353888,19.45723423759051,-8.091238022,2847.70883601753,2013.3910881128456
NVR1_N910A6_ch6_main,-4.437385751,20.32870741170221,-8.092247963,2891.7374736068095,1724.958804664686
NVR1_N910A6_ch6_main,-8.305340102,23.19172359153036,-8.049391747,1663.6934195127433,213.51801009825192
NVR1_N910A6_ch6_main,-8.19120531,23.218898541985936,-8.05341053,1713.916892176362,216.93304607996402
NVR1_N910A6_ch6_main,-8.231967736,23.36564327439581,-8.052314758,1719.125143708433,155.36563430405448
NVR1_N910A6_ch6_main,-10.11625963,19.179209419845304,-8.092378616,663.746073430251,1715.2256046646864
NVR1_N910A6_ch6_main,-9.901231515,18.265629364636126,-8.093937874,733.7870668345168,2025.2660532639459
NVR1_N910A6_ch6_main,-10.59460011,21.165787323456563,-8.093532562,582.2277334302511,898.166364195268
NVR1_N910A6_ch6_main,-10.7805026,22.009885233360038,-8.088779449,597.9480583570362,541.4857078903567
NVR1_N910A6_ch6_main,-10.95149915,22.75687018909126,-8.085152626,629.0772581568801,246.58634428291515
NVR1_N910A6_ch6_main,-11.75813649,19.27576368536957,-7.786906242,193.75038117354558,1501.8078703537492
