camera_name,X,Y,Z,col_sample,row_sample
NVR1_N910A6_ch4_main,-4.208899272,14.283724900275892,-8.075247765,2630.0830826981014,1083.9449791521815
NVR1_N910A6_ch4_main,-1.908443074,11.725931075861746,-8.091905594,3067.124072022417,2139.1140142553145
NVR1_N910A6_ch4_main,-2.223229376,12.759402095947232,-8.095405579,3118.8894826981023,1827.1139328171419
NVR1_N910A6_ch4_main,-2.551104328,13.794903960218916,-8.096923828,3156.10992639319,1445.7280422012936
NVR1_N910A6_ch4_main,-3.01638282,15.309718261787312,-8.092766762,3150.8862263931906,798.7745422012937
NVR1_N910A6_ch4_main,-1.521964169,14.173372164103805,-7.78699398,3516.1242014664053,1362.9173075974968
NVR1_N910A6_ch4_main,-1.279128801,13.268009126448572,-7.790832043,3458.3785357773427,1703.507857743927
NVR1_N910A6_ch4_main,-1.047773045,12.431074509181604,-7.779522419,3400.848419677082,1967.116925229477
NVR1_N910A6_ch4_main,-3.368544342,16.455640502015598,-8.09384346,3090.2611733139497,309.2740078903567
NVR1_N910A6_ch4_main,-2.254536074,16.797085281480314,-7.783722401,3469.676510850557,318.6451278903567
NVR1_N910A6_ch4_main,-8.470438882,12.170835148098323,-8.100007057,751.4583234603797,1583.0048046646862
NVR1_N910A6_ch4_main,-8.229367615,11.160522389233424,-8.092281342,833.7796995680848,1932.9519573752184
NVR1_N910A6_ch4_main,-8.896807339,13.961402163162456,-8.097434044,674.2011916128354,862.1541797379011
NVR1_N910A6_ch4_main,-9.09987551,14.877310368436778,-8.099206924,682.6919453079242,481.3220328171418
NVR1_N910A6_ch4_main,-9.294159595,15.671395340526267,-8.098437309,705.8555694056423,183.26317984113945
NVR1_N910A6_ch4_main,-10.57286156,14.93318748893983,-7.789144516,299.72382592377244,434.65353727450855
NVR1_N910A6_ch4_main,-9.585025831,11.402816554821326,-7.78148365,427.2521590030131,1737.2119609695976
NVR1_N910A6_ch4_main,-9.335041843,10.43859259830798,-7.786153316,526.0033674963657,2031.4324069085394
NVR1_N910A6_ch4_main,-5.089788973,13.352214645537888,-8.09543705,2154.290010850558,1451.076192054864
NVR1_N910A6_ch4_main,-4.242126544,13.621565324045084,-8.071685791,2541.7444607041275,1408.5397765122307
NVR1_N910A6_ch4_main,-1.108615615,12.351979167248205,-7.778393745,3377.447355118724,1992.6350358468703
NVR1_N910A6_ch4_main,-0.954582322,12.40190231179304,-7.784002781,3415.404711737564,1975.2847612161052
