camera_name,X,Y,Z,col_sample,row_sample
NVR2_N910A6_ch3_main,-12.18297046,39.52200244140606,-8.075289726,2504.5078153751133,1270.4987072861154
NVR2_N910A6_ch3_main,-12.49076587,40.75175342,-8.076331139,2504.0823091434168,594.6530183670311
NVR2_N910A6_ch3_main,-12.61373828,40.75030566405576,-8.086473465,2438.578997759266,573.9374129379011
NVR2_N910A6_ch3_main,-12.39094165,40.80672900390356,-8.105941772,2572.786333436498,580.8425944046423
NVR2_N910A6_ch3_main,-9.415319091,41.23334033202805,-8.108978271,3835.1500026840404,833.1240576065397
NVR2_N910A6_ch3_main,-8.98991748,39.56769580077167,-8.10926342,3838.5987160762284,1594.3739514267402
NVR2_N910A6_ch3_main,-8.737535888,38.51350146484226,-8.105291367,3776.4473191360494,2043.2596950488382
NVR2_N910A6_ch3_main,-8.512461425,37.601636230462326,-8.10022068,3699.774403501596,2390.982211549778
NVR2_N910A6_ch3_main,-14.84075488,35.86713427733771,-8.093868256,950.2155022716229,2493.1102416341496
NVR2_N910A6_ch3_main,-15.12934741,36.80558642577226,-8.094841957,849.1473672630617,2117.0551050488384
NVR2_N910A6_ch3_main,-15.49643481,37.99230273436531,-8.088160515,763.4082139051386,1566.4288529709368
NVR2_N910A6_ch3_main,-16.93135669,38.79371386717739,-7.783254623,313.84489751121845,1056.687376262457
NVR2_N910A6_ch3_main,-17.48329272,40.48542041015333,-7.788565159,412.6936243320411,300.82684877845435
NVR2_N910A6_ch3_main,-16.44943164,37.033982421870526,-7.785982132,366.4992700484397,1848.2718223477239
NVR2_N910A6_ch3_main,-16.2983916,36.15444873046408,-7.785410881,433.2012600019574,2184.1116223251784
