camera_id,calibration_date,fx,skew,cx,s,fy,cy,K_20,K_21,K_22,k1,k2,k3,k4,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,rms,n_gcps,image_width,image_height,geotransform_x_min,geotransform_y_max,geotransform_pixel_width,geotransform_pixel_height,bounds_x_min,bounds_x_max,bounds_y_min,bounds_y_max,output_width,output_height,recalibrated,recalibration_mode,gcps_skipped,gcp_pixel_coords,local_origin_x,local_origin_y,local_origin_z,model_crs
NVR3_N910A6_ch1_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,3.033065140079,0.356027929352,0.057890517642,-31.832582609596,35.282301801457,176.490123117333,8.828935815506,13,4512,2512,266507.915600000008,4691279.796000000089,0.002500000000,-0.002500000000,266507.915600000008,266518.233999999997,4691271.349000000395,4691279.796000000089,,,True,pose-only,1,"[{""X"": 266512.8815, ""Y"": 4691275.932, ""Z"": 177.8614807, ""col"": 2259.239114768304, ""row"": 925.9560004074984}, {""X"": 266512.7576, ""Y"": 4691276.803, ""Z"": 177.8608704, ""col"": 2344.353178589321, ""row"": 152.06035323497304}, {""X"": 266516.234, ""Y"": 4691274.422, ""Z"": 177.8549347, ""col"": 4116.171604071813, ""row"": 2463.9088050413397}, {""X"": 266516.1826, ""Y"": 4691274.601, ""Z"": 177.853302, ""col"": 4141.948407100379, ""row"": 2363.5405268485924}, {""X"": 266515.9343, ""Y"": 4691275.585, ""Z"": 177.8504791, ""col"": 4252.6403014591, ""row"": 1738.6321197867394}, {""X"": 266515.7376, ""Y"": 4691276.401, ""Z"": 177.8522797, ""col"": 4255.916086111556, ""row"": 1162.7453643233466}, {""X"": 266515.7017, ""Y"": 4691276.568, ""Z"": 177.8525848, ""col"": 4248.935589980417, ""row"": 1039.3016321708913}, {""X"": 266515.4369, ""Y"": 4691277.566, ""Z"": 177.8506317, ""col"": 4122.940466304912, ""row"": 376.48138692334663}, {""X"": 266515.3925, ""Y"": 4691277.796, ""Z"": 177.8348389, ""col"": 4086.087243714307, ""row"": 236.8878356412792}, {""X"": 266509.9156, ""Y"": 4691275.505, ""Z"": 177.8455963, ""col"": 160.00112480127092, ""row"": 831.3993272758023}, {""X"": 266509.9917, ""Y"": 4691275.073, ""Z"": 177.8455353, ""col"": 119.67527060651315, ""row"": 1120.9377204758016}, {""X"": 266510.1451, ""Y"": 4691274.282, ""Z"": 177.845047, ""col"": 114.86290398575386, ""row"": 1690.8817694758022}, {""X"": 266510.3099, ""Y"": 4691273.349, ""Z"": 177.8486786, ""col"": 194.37365230088767, ""row"": 2280.300311694777}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch2_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,3.098341692578,0.403051779923,0.050597224984,-30.279600514331,29.600409937930,178.743757904876,12.185746279608,15,4512,2512,266506.504799999995,4691287.265999999829,0.002500000000,-0.002500000000,266506.504799999995,266516.533999999985,4691278.628999999724,4691287.265999999829,,,True,pose-only,0,"[{""X"": 266511.3569, ""Y"": 4691282.628, ""Z"": 177.9017181, ""col"": 2220.7516687712114, ""row"": 1249.3589913750923}, {""X"": 266511.5258, ""Y"": 4691283.223, ""Z"": 177.8736267, ""col"": 2555.3042429193056, ""row"": 690.5542347789035}, {""X"": 266511.3926, ""Y"": 4691283.427, ""Z"": 177.8731842, ""col"": 2472.3946607668504, ""row"": 462.6000901789037}, {""X"": 266511.8139, ""Y"": 4691281.724, ""Z"": 177.8710785, ""col"": 2422.8284420268374, ""row"": 2245.946315977578}, {""X"": 266511.8437, ""Y"": 4691281.788, ""Z"": 177.8701172, ""col"": 2473.0432113063653, ""row"": 2195.4869789131544}, {""X"": 266514.3458, ""Y"": 4691283.0, ""Z"": 177.8590546, ""col"": 4325.297749524938, ""row"": 1539.6107806126035}, {""X"": 266514.2321, ""Y"": 4691283.552, ""Z"": 177.853775, ""col"": 4343.096957231043, ""row"": 1138.2322002929438}, {""X"": 266513.9551, ""Y"": 4691284.955, ""Z"": 177.8479614, ""col"": 4228.082496008688, ""row"": 215.51399576859518}, {""X"": 266513.8956, ""Y"": 4691285.266, ""Z"": 177.8492126, ""col"": 4183.080017055925, ""row"": 53.19525214657949}, {""X"": 266508.805, ""Y"": 4691281.34, ""Z"": 177.8533936, ""col"": 177.10020993353243, ""row"": 1669.282956147757}, {""X"": 266508.7847, ""Y"": 4691281.484, ""Z"": 177.8551331, ""col"": 171.27207233230826, ""row"": 1566.5353341492114}, {""X"": 266508.9371, ""Y"": 4691280.629, ""Z"": 177.8518982, ""col"": 245.3959460193875, ""row"": 2141.4507726800043}, {""X"": 266508.6469, ""Y"": 4691282.228, ""Z"": 177.8583984, ""col"": 183.3224574729458, ""row"": 1005.0622753794532}, {""X"": 266508.5048, ""Y"": 4691282.97, ""Z"": 177.8580322, ""col"": 272.8633843748831, ""row"": 457.75640739294397}, {""X"": 266514.534, ""Y"": 4691282.062, ""Z"": 177.8560181, ""col"": 4193.6676649237725, ""row"": 2179.202852737901}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch3_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,3.048659422842,0.359986313351,0.030630363165,-28.710814029118,47.770047510767,177.273232930825,21.616880580133,15,4512,2512,266503.080299999972,4691294.472000000067,0.002500000000,-0.002500000000,266503.080299999972,266515.024600000004,4691285.978000000119,4691294.472000000067,,,True,pose-only,0,"[{""X"": 266510.2508, ""Y"": 4691289.204, ""Z"": 177.8722687, ""col"": 2421.0890777756786, ""row"": 1991.6651916061155}, {""X"": 266509.8992, ""Y"": 4691290.643, ""Z"": 177.8704376, ""col"": 2414.51412954689, ""row"": 873.9423678953877}, {""X"": 266513.0246, ""Y"": 4691289.237, ""Z"": 177.8548737, ""col"": 3944.353405850347, ""row"": 2175.5066487762265}, {""X"": 266512.9814, ""Y"": 4691289.425, ""Z"": 177.8503876, ""col"": 3959.587927461834, ""row"": 2071.161825924321}, {""X"": 266512.8243, ""Y"": 4691290.434, ""Z"": 177.8519287, ""col"": 4038.237740623117, ""row"": 1493.8905811274042}, {""X"": 266512.7877, ""Y"": 4691290.96, ""Z"": 177.8542328, ""col"": 4068.4916256128354, ""row"": 1189.6273658231678}, {""X"": 266512.7668, ""Y"": 4691291.435, ""Z"": 177.8531342, ""col"": 4078.088857156818, ""row"": 922.6385659101027}, {""X"": 266512.6661, ""Y"": 4691292.472, ""Z"": 177.848465, ""col"": 4030.1612217741194, ""row"": 399.107436573495}, {""X"": 266506.9933, ""Y"": 4691289.163, ""Z"": 177.8471985, ""col"": 456.7204790812448, ""row"": 1422.6506412813137}, {""X"": 266507.0535, ""Y"": 4691288.887, ""Z"": 177.8436127, ""col"": 464.552062513491, ""row"": 1595.0598155071953}, {""X"": 266507.2994, ""Y"": 4691287.978, ""Z"": 177.8538513, ""col"": 532.7097330322467, ""row"": 2141.1798685086487}, {""X"": 266506.6818, ""Y"": 4691290.348, ""Z"": 177.8506622, ""col"": 500.7148043466408, ""row"": 696.1546260086491}, {""X"": 266506.7484, ""Y"": 4691290.096, ""Z"": 177.8492432, ""col"": 480.19292754664076, ""row"": 846.6385362928008}, {""X"": 266505.3839, ""Y"": 4691290.085, ""Z"": 178.1680603, ""col"": 51.410789834274965, ""row"": 754.4870549184354}, {""X"": 266505.0803, ""Y"": 4691291.467, ""Z"": 178.1764679, ""col"": 233.52487894835076, ""row"": 128.46740246150472}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch4_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,-3.112390295747,-0.384250942744,-0.005229881197,-24.367181964663,41.519987919612,181.057651727731,4.737860024867,15,4512,2512,266501.724199999997,4691301.963999999687,0.002500000000,-0.002500000000,266501.724199999997,266513.559899999993,4691292.508000000380,4691301.963999999687,,,True,pose-only,1,"[{""X"": 266508.4276, ""Y"": 4691298.125, ""Z"": 177.8688965, ""col"": 2882.840575838716, ""row"": 580.3181530233462}, {""X"": 266508.7292, ""Y"": 4691296.627, ""Z"": 177.8638611, ""col"": 2832.881050843078, ""row"": 1715.4512903291616}, {""X"": 266511.5599, ""Y"": 4691297.882, ""Z"": 177.835556, ""col"": 4301.445508343347, ""row"": 1293.054731943556}, {""X"": 266511.4389, ""Y"": 4691298.467, ""Z"": 177.8348083, ""col"": 4305.489906747256, ""row"": 974.4000847391944}, {""X"": 266511.3605, ""Y"": 4691298.94, ""Z"": 177.8356476, ""col"": 4291.644139147742, ""row"": 724.8682963708909}, {""X"": 266511.146, ""Y"": 4691299.964, ""Z"": 177.8355103, ""col"": 4206.790556347475, ""row"": 234.86168547514768}, {""X"": 266505.5369, ""Y"": 4691294.805, ""Z"": 177.8445587, ""col"": 657.7700008108318, ""row"": 2178.9217241854294}, {""X"": 266505.3487, ""Y"": 4691295.521, ""Z"": 177.8509827, ""col"": 583.8230541122856, ""row"": 1772.250909185429}, {""X"": 266505.15, ""Y"": 4691296.262, ""Z"": 177.8459625, ""col"": 544.3487415733205, ""row"": 1312.2809985666727}, {""X"": 266505.0978, ""Y"": 4691296.493, ""Z"": 177.8460541, ""col"": 543.6361763733205, ""row"": 1176.8421871868827}, {""X"": 266504.777, ""Y"": 4691297.682, ""Z"": 177.8538055, ""col"": 595.4380636079243, ""row"": 437.3575229839748}, {""X"": 266504.7716, ""Y"": 4691297.744, ""Z"": 177.8557892, ""col"": 600.5770861992016, ""row"": 396.6529494868825}, {""X"": 266503.7242, ""Y"": 4691297.655, ""Z"": 178.179657, ""col"": 197.04822441556445, ""row"": 380.23310985082486}, {""X"": 266504.0732, ""Y"": 4691295.95, ""Z"": 178.1605377, ""col"": 99.81367082574809, ""row"": 1315.2384451810674}, {""X"": 266504.4251, ""Y"": 4691294.508, ""Z"": 178.1682434, ""col"": 204.53928059213865, ""row"": 2096.8744341839756}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch5_main,20251205,2692.975854000000,0.000000000000,2257.843196000000,0.000000000000,2680.718683000000,1328.330264000000,0.000000000000,0.000000000000,1.000000000000,-0.302779007000,0.683157618000,-0.902569254000,0.397751630000,3.122051518616,0.241955156271,0.022919460742,-22.303947407124,53.457010885536,180.471628647938,4.241970989188,15,4512,2512,266500.096200000029,4691308.211000000127,0.002500000000,-0.002500000000,266500.096200000029,266512.518999999971,4691299.781000000425,4691308.211000000127,,,True,pose-only,1,"[{""X"": 266510.0916, ""Y"": 4691305.1, ""Z"": 177.8228607, ""col"": 4289.366558088732, ""row"": 1203.5241045122307}, {""X"": 266510.2261, ""Y"": 4691304.464, ""Z"": 177.8230591, ""col"": 4294.187343741188, ""row"": 1543.0772641280787}, {""X"": 266510.519, ""Y"": 4691302.953, ""Z"": 177.8294525, ""col"": 4199.556007383583, ""row"": 2284.9845400461622}, {""X"": 266503.1931, ""Y"": 4691303.769, ""Z"": 177.8445435, ""col"": 372.8024123396204, ""row"": 1329.7392075122307}, {""X"": 266503.2337, ""Y"": 4691303.593, ""Z"": 177.8426819, ""col"": 376.22272513962037, ""row"": 1433.0228008963825}, {""X"": 266502.4151, ""Y"": 4691303.546, ""Z"": 178.150528, ""col"": 55.80606930728453, ""row"": 1384.5082681280787}, {""X"": 266502.7715, ""Y"": 4691302.003, ""Z"": 178.1533051, ""col"": 189.47538616069198, ""row"": 2227.6799275241137}, {""X"": 266502.9279, ""Y"": 4691304.825, ""Z"": 177.8514709, ""col"": 379.8195176237722, ""row"": 727.7620772122305}, {""X"": 266502.0962, ""Y"": 4691304.879, ""Z"": 178.1587219, ""col"": 93.4178032835369, ""row"": 665.6393434963825}, {""X"": 266502.569, ""Y"": 4691306.211, ""Z"": 177.8538666, ""col"": 505.52059019147543, ""row"": 58.59475211366242}, {""X"": 266509.9116, ""Y"": 4691305.949, ""Z"": 177.8224335, ""col"": 4234.380079954354, ""row"": 744.9512759439269}, {""X"": 266503.4516, ""Y"": 4691302.79, ""Z"": 177.84035, ""col"": 444.1928033920762, ""row"": 1920.5724307439273}, {""X"": 266503.7007, ""Y"": 4691301.781, ""Z"": 177.84851, ""col"": 588.2732431916188, ""row"": 2463.221018885876}, {""X"": 266507.0282, ""Y"": 4691304.159, ""Z"": 177.78032, ""col"": 2746.1559737713164, ""row"": 1490.7423645914714}, {""X"": 266506.4014, ""Y"": 4691305.501, ""Z"": 177.78743, ""col"": 2429.608316771317, ""row"": 458.7985183390157}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch6_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,-3.122388434697,-0.227520591351,-0.121151677804,-31.585238028854,57.006853316097,179.772481013828,17.798170299998,13,4512,2512,266498.592200000014,4691315.440999999642,0.002500000000,-0.002500000000,266498.592200000014,266511.168100000010,4691307.598000000231,4691315.440999999642,,,True,pose-only,3,"[{""X"": 266501.7105, ""Y"": 4691309.598, ""Z"": 177.8488922, ""col"": 596.7370234375118, ""row"": 2143.7677643823617}, {""X"": 266501.4516, ""Y"": 4691310.531, ""Z"": 177.8434448, ""col"": 452.4674971985467, ""row"": 1548.9754875275478}, {""X"": 266501.2428, ""Y"": 4691311.183, ""Z"": 177.8462067, ""col"": 393.32008063169667, ""row"": 1147.2745545217329}, {""X"": 266501.1598, ""Y"": 4691311.339, ""Z"": 177.8496094, ""col"": 374.04246531584863, ""row"": 1033.0209200627012}, {""X"": 266500.5922, ""Y"": 4691312.535, ""Z"": 177.8579102, ""col"": 322.7170853668502, ""row"": 337.3507651800034}, {""X"": 266508.4115, ""Y"": 4691313.441, ""Z"": 177.8342896, ""col"": 4312.742016119315, ""row"": 600.3181238854454}, {""X"": 266508.608, ""Y"": 4691312.461, ""Z"": 177.8310242, ""col"": 4368.467382017283, ""row"": 1063.0549004468535}, {""X"": 266508.7143, ""Y"": 4691311.945, ""Z"": 177.825943, ""col"": 4371.371553346417, ""row"": 1305.0942022973052}, {""X"": 266508.8418, ""Y"": 4691311.318, ""Z"": 177.8257751, ""col"": 4356.464077585295, ""row"": 1594.5486670789035}, {""X"": 266509.0162, ""Y"": 4691310.433, ""Z"": 177.8282471, ""col"": 4304.041942966858, ""row"": 1982.171914817142}, {""X"": 266501.7313, ""Y"": 4691311.955, ""Z"": 177.79637, ""col"": 660.5660782322234, ""row"": 713.2768711546953}, {""X"": 266509.1681, ""Y"": 4691309.761, ""Z"": 177.83446, ""col"": 4237.612464502727, ""row"": 2238.412119368648}, {""X"": 266507.4668, ""Y"": 4691312.872, ""Z"": 177.7834, ""col"": 4095.6547996216636, ""row"": 723.800425915157}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch7_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,3.064668776473,0.412477882281,0.139218597295,-44.963594579469,71.573052942488,175.793535819884,4.524752316173,8,4512,2512,266502.881300000008,4691324.684999999590,0.002500000000,-0.002500000000,266502.881300000008,266510.572500000009,4691316.973000000231,4691324.684999999590,,,True,pose-only,7,"[{""X"": 266506.9854, ""Y"": 4691320.939, ""Z"": 177.8209839, ""col"": 3364.361171362557, ""row"": 1431.4792876654656}, {""X"": 266508.0831, ""Y"": 4691321.217, ""Z"": 177.8337708, ""col"": 3798.885358897711, ""row"": 1418.6094557490676}, {""X"": 266508.4489, ""Y"": 4691319.75, ""Z"": 177.8368988, ""col"": 3728.1176207496164, ""row"": 2118.3406277490676}, {""X"": 266508.5725, ""Y"": 4691319.205, ""Z"": 177.8306885, ""col"": 3672.3086198263013, ""row"": 2344.196639405626}, {""X"": 266507.2009, ""Y"": 4691319.359, ""Z"": 177.8435211, ""col"": 3228.5484259773493, ""row"": 2249.401702759539}, {""X"": 266507.7169, ""Y"": 4691322.685, ""Z"": 177.8450775, ""col"": 3774.2153299827664, ""row"": 692.1320863860292}, {""X"": 266505.7036, ""Y"": 4691318.973, ""Z"": 177.78914, ""col"": 2429.070784232564, ""row"": 2324.9577294669066}, {""X"": 266504.8813, ""Y"": 4691320.916, ""Z"": 177.78577, ""col"": 2261.4288781308605, ""row"": 1135.4649177534295}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR3_N910A6_ch8_main,20251205,2325.630552000000,0.000000000000,2269.708414000000,0.000000000000,2328.019972000000,1204.404561000000,0.000000000000,0.000000000000,1.000000000000,-0.006240516000,0.064929383000,-0.194182912000,0.096567304000,-3.082664762151,-0.290820590556,-0.280483882584,-49.384914147249,59.306905226450,178.816854832463,7.840180210569,7,4512,2512,266493.699800000002,4691322.940999999642,0.002500000000,-0.002500000000,266493.699800000002,266509.355299999996,4691315.831000000238,4691322.940999999642,,,True,pose-only,4,"[{""X"": 266497.8059, ""Y"": 4691318.595, ""Z"": 177.8340912, ""col"": 856.6159777644842, ""row"": 1885.90136299821}, {""X"": 266498.1596, ""Y"": 4691317.831, ""Z"": 177.8373108, ""col"": 1024.1942514027965, ""row"": 2303.508782036592}, {""X"": 266506.9827, ""Y"": 4691320.941, ""Z"": 177.8082428, ""col"": 4375.603490918199, ""row"": 1370.329723597497}, {""X"": 266495.6998, ""Y"": 4691320.084, ""Z"": 177.8320923, ""col"": 139.50465960200876, ""row"": 881.4727837189687}, {""X"": 266507.3553, ""Y"": 4691318.645, ""Z"": 177.845932, ""col"": 4253.2712251266275, ""row"": 2057.4380959793107}, {""X"": 266499.1368, ""Y"": 4691318.38, ""Z"": 177.78679, ""col"": 1559.1256034056637, ""row"": 2163.8349689175147}, {""X"": 266505.6966, ""Y"": 4691318.989, ""Z"": 177.79285, ""col"": 4067.493526496535, ""row"": 1982.5659032073197}]",266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
