camera_id,calibration_date,fx,skew,cx,s,fy,cy,K_20,K_21,K_22,k1,k2,k3,k4,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,rms,n_gcps,image_width,image_height,geotransform_x_min,geotransform_y_max,geotransform_pixel_width,geotransform_pixel_height,bounds_x_min,bounds_x_max,bounds_y_min,bounds_y_max,output_width,output_height,recalibrated,recalibration_mode,gcps_skipped,gcp_pixel_coords,local_origin_x,local_origin_y,local_origin_z,model_crs
NVR1_N910A6_ch1_main,20251120,2046.157273000000,0,1924.952889000000,0,2067.452693000000,1107.531751000000,0,0,1,0.152585866,-0.652682188,0.776007443,-0.341762408,3.038151489,0.388699422,0.055472295,-31.87711592,20.39741769,179.6859641,2.386498144,18,3840,2160,266508.351599999995,4691268.961000000127,0.0025,-0.0025,,,,,5769,4561,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch2_main,20251120,2225.583094000000,0,1942.230626000000,0,2255.334552000000,1007.387245000000,0,0,1,0.089191061,-0.759148651,1.258480333,-0.74547215,-2.987484971,-0.372815439,-0.125059596,-35.69395311,-13.75071754,180.3044488,1.833909768,14,3840,2160,266508.041800000006,4691271.656000000425,0.0025,-0.0025,,,,,5773,4552,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch3_main,20251120,2023.327779000000,0,1911.660633000000,0,2047.853323000000,1023.980793000000,0,0,1,0.02973372,-0.056895841,-0.141156768,0.136254664,-3.123421938,-0.305225438,-0.032113111,-26.48568348,14.96736844,181.6424346,2.538927382,16,3840,2160,266507.080799999996,4691274.881000000052,0.0025,-0.0025,,,,,5611,4020,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch4_main,20251120,2214.450153000000,0,1973.130574000000,0,2238.913929000000,1051.993581000000,0,0,1,0.149087605,-0.918893526,1.346652838,-0.713185766,-3.021378241,-0.239194936,-0.011546891,-21.79894986,0.367034997,183.7859163,2.750325042,34,3840,2160,266505.695899999992,4691279.616000000387,0.0025,-0.0025,,,,,6022,4834,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch5_main,20251120,2144.779432000000,0,1927.915096000000,0,2165.966012000000,1042.375122000000,0,0,1,0.016253649,-0.226874511,0.179076669,-0.048239403,3.095002998,0.280499538,-0.16416284,-3.267273115,30.79561462,182.7054883,2.52704645,31,3840,2160,266504.709800000011,4691283.701000000350,0.0025,-0.0025,,,,,5985,5175,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch6_main,20251120,2160.222971000000,0,1928.793837000000,0,2184.223512000000,994.0426404,0,0,1,-0.010795904,-0.183657976,0.188273976,-0.086510925,-3.106717581,-0.267245164,-0.148385809,-38.67958559,22.62908569,180.405497,1.465427939,30,3840,2160,266504.033600000024,4691286.553000000305,0.0025,-0.0025,,,,,6013,4736,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch7_main,20251120,2007.222232000000,0,1887.436578000000,0,2030.826848000000,1053.977763000000,0,0,1,0.058350948,-0.108392012,-0.129643354,0.150316286,3.088359425,0.384007604,0.004128635,-24.64346549,34.95956594,180.9051425,1.993601514,25,3840,2160,266503.396799999988,4691290.944000000134,0.0025,-0.0025,,,,,5579,5108,FALSE,,0,,266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR1_N910A6_ch8_main,20251203,2148.226235000000,0,1946.678185000000,0,2171.561760000000,1061.510692000000,0,0,1,0.009636819,-0.135031884,-0.023574763,0.075293347,3.118490804,0.298296665,0.079078741,-31.12892716,35.03381191,180.7979673,2.967634109,22,3840,2160,266502.381700000027,4691294.440000000410,0.0025,-0.0025,,,,,5699,4758,TRUE,pose-only,2,"[{""X"": 266510.9126, ""Y"": 4691286.204, ""Z"": 177.8801727, ""col"": 2126.5679526784015, ""row"": 1974.9335009421022}, {""X"": 266510.5727, ""Y"": 4691287.695, ""Z"": 177.8799591, ""col"": 2113.6512909723783, ""row"": 1279.5122269681435}, {""X"": 266510.2514, ""Y"": 4691289.206, ""Z"": 177.8722687, ""col"": 2094.9322919738324, ""row"": 527.9011496666899}, {""X"": 266506.9923, ""Y"": 4691289.169, ""Z"": 177.8471985, ""col"": 738.0749298767398, ""row"": 349.15635226378237}, {""X"": 266507.0581, ""Y"": 4691288.887, ""Z"": 177.8495026, ""col"": 727.1139487781936, ""row"": 460.4984499637823}, {""X"": 266507.2984, ""Y"": 4691287.981, ""Z"": 177.8533783, ""col"": 714.9388046781935, ""row"": 854.0987762623286}, {""X"": 266507.4405, ""Y"": 4691287.375, ""Z"": 177.8435822, ""col"": 719.7803717767398, ""row"": 1133.4010309623286}, {""X"": 266507.6334, ""Y"": 4691286.771, ""Z"": 177.8551941, ""col"": 753.186398375286, ""row"": 1412.301760965236}, {""X"": 266507.8514, ""Y"": 4691285.945, ""Z"": 177.853714, ""col"": 810.5036121767398, ""row"": 1769.7137819637824}, {""X"": 266507.9736, ""Y"": 4691285.547, ""Z"": 177.8552246, ""col"": 851.5445466352064, ""row"": 1932.2848770080902}, {""X"": 266506.0925, ""Y"": 4691286.989, ""Z"": 178.1607819, ""col"": 267.97423400493335, ""row"": 1173.9044899652363}, {""X"": 266505.7277, ""Y"": 4691288.436, ""Z"": 178.155365, ""col"": 282.76371012383225, ""row"": 584.2446919637823}, {""X"": 266505.3817, ""Y"": 4691290.085, ""Z"": 178.1680603, ""col"": 408.9364112816327, ""row"": 12.728403246303913}, {""X"": 266513.6311, ""Y"": 4691286.446, ""Z"": 177.8466034, ""col"": 3128.9909614088865, ""row"": 1925.2622580336263}, {""X"": 266513.5837, ""Y"": 4691286.669, ""Z"": 177.8469391, ""col"": 3147.821032978193, ""row"": 1842.7918729637827}, {""X"": 266513.3684, ""Y"": 4691287.698, ""Z"": 177.8507996, ""col"": 3189.1555629738323, ""row"": 1454.2129269666898}, {""X"": 266513.3167, ""Y"": 4691287.947, ""Z"": 177.8500824, ""col"": 3194.2045559752864, ""row"": 1355.96989896669}, {""X"": 266513.0245, ""Y"": 4691289.233, ""Z"": 177.8548737, ""col"": 3186.1609609752863, ""row"": 806.6152073695973}, {""X"": 266512.9759, ""Y"": 4691289.427, ""Z"": 177.8503876, ""col"": 3179.4761579796477, ""row"": 728.0207854695973}, {""X"": 266512.8236, ""Y"": 4691290.43, ""Z"": 177.8519287, ""col"": 3144.2082909796472, ""row"": 340.3968326666898}, {""X"": 266512.7913, ""Y"": 4691290.958, ""Z"": 177.8545837, ""col"": 3131.347560805398, ""row"": 165.8553243634663}, {""X"": 266512.7607, ""Y"": 4691291.44, ""Z"": 177.8536224, ""col"": 3113.084760897959, ""row"": 21.73515947997737}]",266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR2_N910A6_ch1_main,20251203,2550.130325000000,0,2162.602406000000,0,2549.607249000000,1210.152983000000,0,0,1,-0.038194481,-0.201898986,0.351886937,-0.232337308,3.037666924,0.305766494,-0.032380854,-19.76247139,54.35316953,178.4549689,2.224823905,21,4512,2512,266501.741199999989,4691298.424999999814,0.0025,-0.0025,,,,,5634,5199,TRUE,pose-only,1,"[{""X"": 266509.8978, ""Y"": 4691290.635, ""Z"": 177.8704681, ""col"": 2592.499783002908, ""row"": 2108.769929997219}, {""X"": 266509.5731, ""Y"": 4691292.159, ""Z"": 177.8670349, ""col"": 2590.5433679985463, ""row"": 1259.9195809972189}, {""X"": 266509.2885, ""Y"": 4691293.588, ""Z"": 177.8656769, ""col"": 2573.5554339985465, ""row"": 490.43298809285756}, {""X"": 266512.0594, ""Y"": 4691295.425, ""Z"": 177.8432007, ""col"": 3721.5489903806083, ""row"": 154.93848002070666}, {""X"": 266512.2688, ""Y"": 4691294.384, ""Z"": 177.8430481, ""col"": 3817.062494, ""row"": 545.8645252884962}, {""X"": 266512.3669, ""Y"": 4691293.971, ""Z"": 177.8448029, ""col"": 3850.387342998546, ""row"": 718.5326353870428}, {""X"": 266512.6659, ""Y"": 4691292.473, ""Z"": 177.848465, ""col"": 3906.403573001454, ""row"": 1387.0959659870425}, {""X"": 266512.76, ""Y"": 4691291.439, ""Z"": 177.8531342, ""col"": 3855.522772002908, ""row"": 1854.1886739870429}, {""X"": 266512.7898, ""Y"": 4691290.957, ""Z"": 177.8545837, ""col"": 3811.090343998546, ""row"": 2060.1844219899504}, {""X"": 266512.8237, ""Y"": 4691290.431, ""Z"": 177.8519287, ""col"": 3751.93564725877, ""row"": 2274.2710925969914}, {""X"": 266506.9928, ""Y"": 4691289.167, ""Z"": 177.8471985, ""col"": 1031.6207694471273, ""row"": 2406.476957280703}, {""X"": 266506.7463, ""Y"": 4691290.089, ""Z"": 177.8492432, ""col"": 957.1418063970925, ""row"": 1981.2481459957653}, {""X"": 266506.6809, ""Y"": 4691290.344, ""Z"": 177.8506622, ""col"": 942.9503593941849, ""row"": 1852.3935639899505}, {""X"": 266506.3075, ""Y"": 4691291.836, ""Z"": 177.8548584, ""col"": 909.9808899970925, ""row"": 1092.295128991404}, {""X"": 266506.237, ""Y"": 4691292.091, ""Z"": 177.8566284, ""col"": 913.0591714970925, ""row"": 960.9551171914038}, {""X"": 266505.0777, ""Y"": 4691291.466, ""Z"": 178.1764679, ""col"": 393.92299949709246, ""row"": 1137.1969949914037}, {""X"": 266505.3843, ""Y"": 4691290.085, ""Z"": 178.1680603, ""col"": 406.80620199854616, ""row"": 1795.8077739899504}, {""X"": 266505.7286, ""Y"": 4691288.43, ""Z"": 178.155365, ""col"": 534.9285574081632, ""row"": 2488.5599706405897}, {""X"": 266505.9419, ""Y"": 4691293.216, ""Z"": 177.8523712, ""col"": 956.9161510941849, ""row"": 432.1987686899501}, {""X"": 266505.9059, ""Y"": 4691293.357, ""Z"": 177.8518372, ""col"": 964.4394137956386, ""row"": 373.37081398849625}, {""X"": 266504.7412, ""Y"": 4691292.992, ""Z"": 178.1688843, ""col"": 485.3213155970925, ""row"": 455.9950347899501}]",266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR2_N910A6_ch2_main,20251212,2513.577722000000,0,2291.324141000000,0,2517.852619000000,1187.770699000000,0,0,1,-0.054892153,-0.003305135,0.007703872,-0.06861302,3.02631222,0.372258073,0.078222336,-34.65136676,56.05084749,176.5219637,5.163315983,18,4512,2512,266503.583900000027,4691298.634999999776,0.0025,-0.0025,,,,,3714,2458,TRUE,pose-only,2,"[{""X"": 266509.2938, ""Y"": 4691293.589, ""Z"": 177.8656769, ""col"": 2620.3056448308707, ""row"": 2419.698191718963}, {""X"": 266509.0348, ""Y"": 4691295.152, ""Z"": 177.8631287, ""col"": 2709.038726153208, ""row"": 1640.9390481754874}, {""X"": 266508.7229, ""Y"": 4691296.631, ""Z"": 177.8638611, ""col"": 2721.440131153208, ""row"": 839.9665052672865}, {""X"": 266508.4239, ""Y"": 4691298.135, ""Z"": 177.8688965, ""col"": 2715.784324130026, ""row"": 139.69241576700404}, {""X"": 266511.5619, ""Y"": 4691297.882, ""Z"": 177.835556, ""col"": 3892.1709208107, ""row"": 704.6113000429839}, {""X"": 266511.7642, ""Y"": 4691296.924, ""Z"": 177.8430634, ""col"": 3924.147323766905, ""row"": 1089.8590071209978}, {""X"": 266512.0607, ""Y"": 4691295.466, ""Z"": 177.8427582, ""col"": 3905.0620152276424, ""row"": 1740.0081293072055}, {""X"": 266512.2677, ""Y"": 4691294.384, ""Z"": 177.8430481, ""col"": 3838.3709525268023, ""row"": 2177.385684605587}, {""X"": 266512.3696, ""Y"": 4691293.966, ""Z"": 177.8448029, ""col"": 3807.9165867739966, ""row"": 2330.082226275236}, {""X"": 266505.906, ""Y"": 4691293.357, ""Z"": 177.8518372, ""col"": 971.0060644809025, ""row"": 2080.617750129588}, {""X"": 266505.938, ""Y"": 4691293.212, ""Z"": 177.8523712, ""col"": 979.884716526802, ""row"": 2146.056781939592}, {""X"": 266505.5356, ""Y"": 4691294.805, ""Z"": 177.8445587, ""col"": 932.0419802189017, ""row"": 1354.5769689854912}, {""X"": 266505.3497, ""Y"": 4691295.524, ""Z"": 177.8509827, ""col"": 945.9449805967026, ""row"": 983.5518852076904}, {""X"": 266505.1479, ""Y"": 4691296.267, ""Z"": 177.8459625, ""col"": 978.8432701885015, ""row"": 623.6008628313909}, {""X"": 266505.0963, ""Y"": 4691296.477, ""Z"": 177.8459778, ""col"": 994.7033016645, ""row"": 523.9351173474921}, {""X"": 266504.7696, ""Y"": 4691297.742, ""Z"": 177.8557892, ""col"": 1091.619724092646, ""row"": 3.9487697134453015}, {""X"": 266504.0839, ""Y"": 4691295.938, ""Z"": 178.1613007, ""col"": 522.0627788024992, ""row"": 644.7121987076903}, {""X"": 266504.7403, ""Y"": 4691292.988, ""Z"": 178.1688843, ""col"": 489.21328042469827, ""row"": 2051.815292699489}]",266495.000000000000,4691250.000000000000,0,EPSG:26919
NVR2_N910A6_ch3_main,20251203,2735.473211000000,0,2293.533472000000,0,2733.121820000000,1186.686008000000,0,0,1,0.2283548,-1.822466868,3.267245108,-1.963255523,3.098732042,0.323348343,0.093326718,-33.66568603,48.66401745,180.2446328,4.461468625,19,4512,2512,266500.048300000024,4691304.446000000462,0.0025,-0.0025,,,,,5881,4600,TRUE,pose-only,1,"[{""X"": 266507.9172, ""Y"": 4691300.325, ""Z"": 177.8649902, ""col"": 2475.928948984009, ""row"": 569.6888166695974}, {""X"": 266508.045, ""Y"": 4691299.605, ""Z"": 177.8643188, ""col"": 2459.1185759840087, ""row"": 971.1950682695974}, {""X"": 266508.4242, ""Y"": 4691298.129, ""Z"": 177.8688965, ""col"": 2495.053555984008, ""row"": 1788.9476109695977}, {""X"": 266511.7492, ""Y"": 4691296.946, ""Z"": 177.8439331, ""col"": 3684.648813094115, ""row"": 2398.8589606932555}, {""X"": 266511.5613, ""Y"": 4691297.882, ""Z"": 177.835556, ""col"": 3756.491371989824, ""row"": 2051.5900999710516}, {""X"": 266511.4428, ""Y"": 4691298.468, ""Z"": 177.8348083, ""col"": 3792.6965779912775, ""row"": 1809.756322973959}, {""X"": 266511.3616, ""Y"": 4691298.943, ""Z"": 177.8356476, ""col"": 3814.117682985462, ""row"": 1599.887164971051}, {""X"": 266511.1481, ""Y"": 4691299.965, ""Z"": 177.8355103, ""col"": 3827.42756098837, ""row"": 1133.420231971051}, {""X"": 266511.0166, ""Y"": 4691300.634, ""Z"": 177.8374786, ""col"": 3811.824047985462, ""row"": 833.642516171051}, {""X"": 266510.8309, ""Y"": 4691301.446, ""Z"": 177.8378296, ""col"": 3769.84102898837, ""row"": 480.3991557695973}, {""X"": 266504.406, ""Y"": 4691299.173, ""Z"": 177.8580322, ""col"": 707.6175979840086, ""row"": 832.0665020637823}, {""X"": 266504.7677, ""Y"": 4691297.743, ""Z"": 177.8557892, ""col"": 722.5458476825547, ""row"": 1539.099612969597}, {""X"": 266504.7818, ""Y"": 4691297.663, ""Z"": 177.8538818, ""col"": 726.0787453840086, ""row"": 1574.7577989681436}, {""X"": 266505.1529, ""Y"": 4691296.252, ""Z"": 177.8461151, ""col"": 835.2183374327856, ""row"": 2218.562687104165}, {""X"": 266505.0966, ""Y"": 4691296.484, ""Z"": 177.8460541, ""col"": 816.2947050825549, ""row"": 2131.3587699725053}, {""X"": 266504.077, ""Y"": 4691295.946, ""Z"": 178.1608124, ""col"": 444.50787458546233, ""row"": 2188.861561972505}, {""X"": 266503.7197, ""Y"": 4691297.657, ""Z"": 178.179657, ""col"": 331.83386378546237, ""row"": 1460.797510971051}, {""X"": 266503.4038, ""Y"": 4691298.983, ""Z"": 178.1663513, ""col"": 334.16469618400856, ""row"": 843.0948178695974}, {""X"": 266503.0483, ""Y"": 4691300.67, ""Z"": 178.1597595, ""col"": 468.0025702431136, ""row"": 140.11326691628852}]",266495.000000000000,4691250.000000000000,0,EPSG:26919
