camera_id,calibration_date,fx,skew,cx,s,fy,cy,K_20,K_21,K_22,k1,k2,k3,k4,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,rms,n_gcps,image_width,image_height,geotransform_x_min,geotransform_y_max,geotransform_pixel_width,geotransform_pixel_height,output_width,output_height,recalibrated,recalibration_mode,gcps_skipped,gcp_pixel_coords,local_origin_x,local_origin_y,local_origin_z,model_crs
NVR1_N910A6_ch1_main,20251120,2046.157273283035,0.000000000000,1924.952889318432,0.000000000000,2067.452693487223,1107.531751395015,0.000000000000,0.000000000000,1.000000000000,0.152585866000,-0.652682188000,0.776007443000,-0.341762408000,3.038151489000,0.388699422000,0.055472295000,-31.877115920000,20.397417690000,179.685964100000,2.386498144000,18,3840,2160,266510.851599999995,4691266.461000000127,0.002500000000,-0.002500000000,3769,2560,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch2_main,20251120,2225.583093666014,0.000000000000,1942.230625635863,0.000000000000,2255.334552269040,1007.387245284257,0.000000000000,0.000000000000,1.000000000000,0.089191061000,-0.759148651000,1.258480333000,-0.745472150000,-2.987484971000,-0.372815439000,-0.125059596000,-35.693953110000,-13.750717540000,180.304448800000,1.833909768000,14,3840,2160,266510.541800000006,4691269.156000000425,0.002500000000,-0.002500000000,3773,2552,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch3_main,20251120,2023.327779450622,0.000000000000,1911.660633196788,0.000000000000,2047.853322745684,1023.980793461517,0.000000000000,0.000000000000,1.000000000000,0.029733720000,-0.056895841000,-0.141156768000,0.136254664000,-3.123421938000,-0.305225438000,-0.032113111000,-26.485683480000,14.967368440000,181.642434600000,2.538927382000,16,3840,2160,266509.580799999996,4691272.381000000052,0.002500000000,-0.002500000000,3610,2019,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch4_main,20251120,2214.450153066859,0.000000000000,1973.130574273019,0.000000000000,2238.913929242320,1051.993580875649,0.000000000000,0.000000000000,1.000000000000,0.149087605000,-0.918893526000,1.346652838000,-0.713185766000,-3.021378241000,-0.239194936000,-0.011546891000,-21.798949860000,0.367034997000,183.785916300000,2.750325042000,34,3840,2160,266508.195899999992,4691277.116000000387,0.002500000000,-0.002500000000,4022,2834,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch5_main,20251120,2144.779431866530,0.000000000000,1927.915095512494,0.000000000000,2165.966012113940,1042.375121578230,0.000000000000,0.000000000000,1.000000000000,0.016253649000,-0.226874511000,0.179076669000,-0.048239403000,3.095002998000,0.280499538000,-0.164162840000,-3.267273115000,30.795614620000,182.705488300000,2.527046450000,31,3840,2160,266507.209800000011,4691281.201000000350,0.002500000000,-0.002500000000,3984,3175,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch6_main,20251120,2160.222971063171,0.000000000000,1928.793837168507,0.000000000000,2184.223512152003,994.042640400000,0.000000000000,0.000000000000,1.000000000000,-0.010795904000,-0.183657976000,0.188273976000,-0.086510925000,-3.106717581000,-0.267245164000,-0.148385809000,-38.679585590000,22.629085690000,180.405497000000,1.465427939000,30,3840,2160,266506.533600000024,4691284.053000000305,0.002500000000,-0.002500000000,4012,2736,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch7_main,20251120,2007.222231522862,0.000000000000,1887.436577580091,0.000000000000,2030.826847981083,1053.977763498920,0.000000000000,0.000000000000,1.000000000000,0.058350948000,-0.108392012000,-0.129643354000,0.150316286000,3.088359425000,0.384007604000,0.004128635000,-24.643465490000,34.959565940000,180.905142500000,1.993601514000,25,3840,2160,266505.896799999988,4691288.444000000134,0.002500000000,-0.002500000000,3578,3108,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR1_N910A6_ch8_main,20251120,2148.226234892455,0.000000000000,1946.678185131724,0.000000000000,2171.561760454175,1061.510691911772,0.000000000000,0.000000000000,1.000000000000,0.009636819000,-0.135031884000,-0.023574763000,0.075293347000,3.117446213000,0.296388495000,0.070073360000,-30.079336390000,35.419276250000,180.897830200000,1.504571577000,24,3840,2160,266504.881700000027,4691291.940000000410,0.002500000000,-0.002500000000,3699,2808,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR2_N910A6_ch1_main,20251120,2550.130324538881,0.000000000000,2162.602405626911,0.000000000000,2549.607248751308,1210.152983265896,0.000000000000,0.000000000000,1.000000000000,-0.038194481000,-0.201898986000,0.351886937000,-0.232337308000,3.042449164000,0.306398944000,-0.031937149000,-19.735844780000,53.493754460000,178.722508300000,1.740627471000,22,4512,2512,266504.241199999989,4691295.953999999911,0.002500000000,-0.002500000000,3633,3209,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
NVR2_N910A6_ch2_main,20251120,2513.577722393814,0.000000000000,2291.324140660197,0.000000000000,2517.852618729617,1187.770699056425,0.000000000000,0.000000000000,1.000000000000,-0.054892153000,-0.003305135000,0.007703872000,-0.068613020000,3.023941267000,0.370438103000,0.051792017000,-31.585842250000,57.015239760000,176.774831200000,2.441836396000,20,4512,2512,266503.583900000027,4691298.957999999635,0.002500000000,-0.002500000000,3714,2587,False,,0,,266495.000000000000,4691250.000000000000,0.000000000000,EPSG:26919
